PT	AU	BA	BE	GP	AF	BF	CA	TI	SO	SE	BS	LA	DT	CT	CY	CL	SP	HO	DE	ID	AB	C1	C3	RP	EM	RI	OI	FU	FX	CR	NR	TC	Z9	U1	U2	PU	PI	PA	SN	EI	BN	J9	JI	PD	PY	VL	IS	PN	SU	SI	MA	BP	EP	AR	DI	D2	EA	PG	WC	WE	SC	GA	UT	PM	OA	HC	HP	DA
J	Bex, GJP; Ingenhut, BLJ; ten Cate, T; Sezen, M; Ozkoc, G				Bex, Guy J. P.; Ingenhut, Bastiaan L. J.; ten Cate, Tessa; Sezen, Meltem; Ozkoc, Guralp			Sustainable approach to produce 3D-printed continuous carbon fiber composites: "A comparison of virgin and recycled PETG"	POLYMER COMPOSITES			English	Article						3D&#8208; printed continuous fiber composites; carbon fiber; interfacial adhesion; mechanical properties; recycled PETG	MECHANICAL-PROPERTIES; POLYMER; BEHAVIOR; PLASTICS; IMPACT; GLASS; ABS; PLA	The use of recycled polymers in 3D printing technologies has recently become a promising research topic because of the global concerns on plastic waste pollution and an increase in awareness of sustainability and circularity. In order to unlock the potentials of 3D printing beyond prototyping purposes, continuous fiber-embedded fused filament fabrication (FFF) as a process for composite production has gained importance. This study focuses on the potential use of recycled, glycol-modified poly(ethylene terephthalate) (rPETG) as a matrix material in continuous fiber additive manufacturing of composites. First, the characteristics of rPETG were compared with those of non-recycled PETG in terms of molecular weight as well as rheological, thermal, and mechanical properties. Then, rPETG and PETG composites containing 25% continuous carbon filament (CCF) fibers (CCFs) were printed using a co-extrusion-type FFF printer. Their tensile and flexural properties were characterized. It was found that the tensile properties of rPETG-based composites were lower than those of PET-based composites, but their flexural properties were nearly the same. The thermodynamic work of adhesion approach was applied to understand the interfacial interactions between the matrix and CFF. It was found that the thermodynamic adhesion between rPETG/CFF was higher than that of PETG/CFF. Additionally, SEM-SE images obtained from the fracture surfaces of the samples supported the findings by showing that the adhesion between rPETG and CF was superior to that between PETG and CF. Thus, this study demonstrated that recycled PETG can be used as a possible matrix material for 3D-printed CCF composites, thus highlighting the ability of recycled plastics to be converted into circular products with high added value.	[Bex, Guy J. P.; Ingenhut, Bastiaan L. J.; ten Cate, Tessa; Ozkoc, Guralp] TNO, Res Grp Mat Solut, Geleen, Netherlands; [Bex, Guy J. P.; Ingenhut, Bastiaan L. J.; ten Cate, Tessa; Ozkoc, Guralp] Brightlands Mat Ctr, Addit Mfg Program, Geleen, Netherlands; [Sezen, Meltem] Sabanci Univ, Nanotechnol Res & Applicat Ctr SUNUM, Istanbul, Turkey		Ozkoc, G (corresponding author), TNO, Res Grp Mat Solut, Geleen, Netherlands.	guralp.ozkoc@tno.nl	Ozkoc, Guralp/F-7917-2018	Ozkoc, Guralp/0000-0002-3194-5256				34	0	0	12	19	WILEY	HOBOKEN	111 RIVER ST, HOBOKEN 07030-5774, NJ USA	0272-8397	1548-0569		POLYM COMPOSITE	Polym. Compos.	SEP	2021	42	9					4253	4264		10.1002/pc.26143		MAY 2021	12	Materials Science, Composites; Polymer Science	Science Citation Index Expanded (SCI-EXPANDED)	Materials Science; Polymer Science	UR2DB	WOS:000654632300001					2022-01-29	
J	Yin, SY; Rajarao, R; Kong, C; Wang, Y; Gong, B; Sahajwalla, V				Yin, Songyan; Rajarao, Ravindra; Kong, Charlie; Wang, Yu; Gong, Bill; Sahajwalla, Veena			Sustainable Fabrication of Protective Nanoscale TiN Thin Film on a Metal Substrate by Using Automotive Waste Plastics	ACS SUSTAINABLE CHEMISTRY & ENGINEERING			English	Article						Automotive waste plastics; Recycling; Titanium nitride; Nanofilm; Oxidation resistance	TITANIUM NITRIDE COATINGS; CARBOTHERMAL SYNTHESIS; SHREDDER RESIDUES; REDUCTION; KINETICS; METHANE; OXIDE; ASR	Automotive plastics are heterogeneous and complex mixtures of various plastics incorporated with significant amounts of additives and fillers. Automotive shredded residue (ASR) waste plastics are difficult to recycle and hence contribute significantly to environmental problems. In this study, a sustainable approach to fabricate protective nanoscale TiN thin film on a metal surface by using automotive waste plastics as titanium and carbon sources is investigated. The synthesis of nanoscale thin film of titanium nitride on steel substrate was carried out by using carbothermal reduction and nitridation reaction in a nitrogen atmosphere. The formation of TiN nanofilm on steel substrate was confirmed by XPS, XRD, and EDS techniques. The TiN film was characterized by HRTEM, and thickness was found to be in the range of 18 nm. The uniform and highly crystalline TiN thin film could provide good oxidation resistance to steel substrate. This innovative approach of using automotive waste plastics as titanium and reductant source for fabricating TiN film on metal could be an alternative to conventional techniques. This novel route reduces the manufacturing cost and also provides a sustainable recycling solution for automotive waste plastic.	[Yin, Songyan; Rajarao, Ravindra; Sahajwalla, Veena] UNSW Australia, SMaRT, Ctr Sustainable Mat Res & Technol, Sch Mat Sci & Engn, Sydney, NSW 2052, Australia; [Kong, Charlie; Wang, Yu; Gong, Bill] UNSW Australia, Mark Wainwright Analyt Ctr Kensington, Sydney, NSW 2052, Australia		Rajarao, R (corresponding author), UNSW Australia, SMaRT, Ctr Sustainable Mat Res & Technol, Sch Mat Sci & Engn, Sydney, NSW 2052, Australia.	r.rajarao@unsw.edu.au		Sahajwalla, Veena/0000-0001-9528-9967; Yin, Songyan/0000-0002-1109-9195	Australian Research Council's Industrial Transformation Research HubAustralian Research Council [IH130200025]	This research was supported under Australian Research Council's Industrial Transformation Research Hub funding scheme (project IH130200025).		29	2	2	2	13	AMER CHEMICAL SOC	WASHINGTON	1155 16TH ST, NW, WASHINGTON, DC 20036 USA	2168-0485			ACS SUSTAIN CHEM ENG	ACS Sustain. Chem. Eng.	FEB	2017	5	2					1549	1556		10.1021/acssuschemeng.6b02253			8	Chemistry, Multidisciplinary; Green & Sustainable Science & Technology; Engineering, Chemical	Science Citation Index Expanded (SCI-EXPANDED)	Chemistry; Science & Technology - Other Topics; Engineering	EK0RK	WOS:000393634600036					2022-01-29	
J	dos Santos, LR; Durazzo, M; de Carvalho, EFU; Riella, HG				dos Santos, Lauro Roberto; Durazzo, Michelangelo; Urano de Carvalho, Elita Fontenele; Riella, Humberto Gracher			Effect of Al(OH)(3) on the sintering of UO2-Gd2O3 fuel pellets with addition of U3O8 from recycle	JOURNAL OF NUCLEAR MATERIALS			English	Article						Nuclear fuel; Burnable poison; Gadolinium oxide; Uranium dioxide; Sintering; Fabrication	BURNABLE POISON; UO2; EXPERIENCE	The incorporation of gadolinium as burnable poison directly into nuclear fuel is important for reactivity compensation, which enables longer fuel cycles. The function of the burnable poison fuel is to control the neutron population in the reactor core during its startup and the beginning of the fuel burning cycle to extend the use of the fuel. The implementation of UO2-Gd2O3 poisoned fuel in Brazil has been proposed according to the future requirements established for the Angra-2 nuclear power plant. The UO2 powder used is produced from the Ammonium Uranyl Carbonate (AUC). The incorporation of Gd2O3 powder directly into the AUC-derived UO2 powder by dry mechanical blending is the most attractive process, because of its simplicity. Nevertheless, processing by this method leads to difficulties while obtaining sintered pellets with the minimum required density. The cause of the low densities is the bad sintering behavior of the UO2-Gd2O3 mixed fuel, which shows a blockage in the sintering process that hinders the densification. This effect has been overcome by microdoping of the fuel with small quantities of aluminum. The process for manufacturing the fuel inevitably generates uranium-rich scraps from various sources. This residue is reincorporated into the production process in the form of U3O8 powder additions. The addition of U3O8 also hinders densification in sintering. This study was carried out to investigate the influence of both aluminum and U3O8 additives on the density of fuel pellets after sintering. As the effects of these additives are counterposed, this work studied the combined effect thereof, seeking to find an applicable composition for the production process. The experimental results demonstrated the effectiveness of aluminum, in the form of Al(OH)(3), as an additive to promote increase in the densification of the (U, Gd) O-2 pellets during sintering, even with high additions of U3O8 recycled from the manufacturing process. (C) 2017 Elsevier B.V. All rights reserved.	[dos Santos, Lauro Roberto; Durazzo, Michelangelo; Urano de Carvalho, Elita Fontenele; Riella, Humberto Gracher] Nucl & Energy Res Inst IPEN CNEN SP, Sao Paulo, Brazil; [Riella, Humberto Gracher] Santa Catarina Fed Univ, Dept Chem Engn, Florianopolis, SC, Brazil		Durazzo, M (corresponding author), Av Prof Lineu Prestes 2242,Cidade Univ, BR-05508000 Sao Paulo, SP, Brazil.	lrsantos@ipen.br; mdurazzo@ipen.br; elitaucf@ipen.br; humberto.riella@ufsc.br	Riella, Gracher/AAG-2943-2021; DE CARVALHO, ELITA FU FONTENELE URANO/C-5867-2014; Durazzo, Michelangelo/G-7279-2012	Riella, Gracher/0000-0003-0435-6082; DE CARVALHO, ELITA FU FONTENELE URANO/0000-0001-8542-3827; Durazzo, Michelangelo/0000-0002-2147-8295				21	1	1	0	3	ELSEVIER SCIENCE BV	AMSTERDAM	PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	0022-3115	1873-4820		J NUCL MATER	J. Nucl. Mater.	SEP	2017	493						30	39		10.1016/j.jnucmat.2017.05.050			10	Materials Science, Multidisciplinary; Nuclear Science & Technology	Science Citation Index Expanded (SCI-EXPANDED)	Materials Science; Nuclear Science & Technology	FE2KA	WOS:000408044000005					2022-01-29	
J	Chen, P; Tang, MC; Zhu, W; Yang, L; Wen, SF; Yan, CZ; Ji, ZJ; Nan, H; Shi, YS				Chen, Peng; Tang, Mingchen; Zhu, Wei; Yang, Lei; Wen, Shifeng; Yan, Chunze; Ji, Zhijun; Nan, Hai; Shi, Yusheng			Systematical mechanism of Polyamide-12 aging and its micro-structural evolution during laser sintering	POLYMER TESTING			English	Article						Laser sintering (LS); Additive manufacturing (AM); PA-12 aging	CRYSTAL-STRUCTURE; NYLON 12; INFRARED TEMPERATURE; X-RAY; BEHAVIOR; POWDER; MORPHOLOGY; POLYMERS; POLYCONDENSATION; DEGRADATION	Laser sintering (LS) has capability of manufacturing complex structures and functional parts. However, material aging and part performance stability are still challenges to face in LS irrespective of protective atmosphere. Consequently, this work focuses on the essence of these problems and investigations on systematical mechanism of PA-12 aging and its micro-structural evolution during IS. The results show that the mechanism mainly has two opposite aspects concerning the material processability. On one hand, analogous Brill transition of peak merging, which is discovered for the first time in the powder aging process of LS PA-12 material, leads to a higher one set melting temperature of the aged powder and broadens the sintering window more than 1 degrees C after 3 recycling. On the other, the existence of solid-state and melt-state polycondensation, which is proved by XPS and rheological measurements, induces the higher temperature nucleation for the aged powder and the crystallization postponement for aged LS parts detected in DSC. The effect of solid-state polycondensation reduces the crystallinity of the powder by 6% after 3 recycling. This mechanism is of the guiding significance for powder stability improvement and consistent control of component properties next.	[Chen, Peng; Tang, Mingchen; Zhu, Wei; Yang, Lei; Wen, Shifeng; Yan, Chunze; Shi, Yusheng] Huazhong Univ Sci & Technol, State Key Lab Mat Proc & Die & Mould Technol, Sch Mat Sci & Engn, Wuhan 430074, Hubei, Peoples R China; [Ji, Zhijun; Nan, Hai] Beijing Inst Aeronaut Mat, Beijing 100095, Peoples R China; [Ji, Zhijun; Nan, Hai] Beijing Engn Res Ctr Adv Titanium Alloy Precis Fo, Beijing 100095, Peoples R China		Yan, CZ (corresponding author), Huazhong Univ Sci & Technol, State Key Lab Mat Proc & Die & Mould Technol, Sch Mat Sci & Engn, Wuhan 430074, Hubei, Peoples R China.; Ji, ZJ (corresponding author), Beijing Inst Aeronaut Mat, Beijing 100095, Peoples R China.	c_yan@hust.edu.cn; jzjbiam@sina.com	yang, Lei/I-4743-2019; Zhu, Wei/O-5483-2019	Zhu, Wei/0000-0003-0148-6236; Yang, Lei/0000-0001-8860-843X	Guangdong Innovative and Entrepreneurial Research Team Program [2013C071]; Hubei Provincial technical innovation major program [2017AAA109]; EMUSIC project - European Union's Horizon research and innovation program [690725]; MIIT [MJ-2015-H-G-104]; Special Fund of Technology Innovation from Hubei Province [2016AAA021]	The study was supported by the Guangdong Innovative and Entrepreneurial Research Team Program (NO. 2013C071), Hubei Provincial technical innovation major program (No. 2017AAA109), the EMUSIC project which is funded by European Union's Horizon 2020 research and innovation program under grant agreement (NO. 690725) and MIIT under the program (No. MJ-2015-H-G-104), and the Special Fund of Technology Innovation from Hubei Province (No. 2016AAA021). The authors would also like to thank the State Key Laboratory of Materials Processing and Die & Mould Technology and Analysis and Testing Center of Huazhong University of Science and Technology for the various measurements.		56	31	32	6	55	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0142-9418	1873-2348		POLYM TEST	Polym. Test	MAY	2018	67						370	379		10.1016/j.polymertesting.2018.03.035			10	Materials Science, Characterization & Testing; Polymer Science	Science Citation Index Expanded (SCI-EXPANDED)	Materials Science; Polymer Science	GG4DX	WOS:000432644900044					2022-01-29	
J	Wang, L; Sun, H; Sun, ZH; Ma, EQ				Wang, Ling; Sun, He; Sun, Zhihui; Ma, Enqing			New technology and application of brick making with coal fly ash	JOURNAL OF MATERIAL CYCLES AND WASTE MANAGEMENT			English	Article						Bricks and building blocks; Experimental research; Fly ash; New technique		China has ranked first in the coal fly ash emission in the world. The multipurpose use of the fly ash from power plant waste is always an important topic for the Chinese environmental protection, which has drawn the concern of the government, scientific research departments, manufacturing enterprises and industry experts. This paper introduces an experimental research on how to recycle fly ash effectively, a kind of new technology of making bricks by which fly ash content could be amounted to 50-80 %. The article introduces raw materials of fly ash brick, production process and key control points. It introduces how to change the technical parameters of the existing brick-making mechanical device, optimize the parameters combination and improve the device performance. High-content fly ash bricks are manufactured, which selects wet fly ash from power plants, adding aggregate with reasonable ratio and additives with reasonable dosage, and do the experimental research on manufactured products for properties, production technology and selection about technology parameters of production equipment. All indexes of strength grade, freezing-thawing resisting, and other standards of the studied bricks reached the national standards for building materials industry.	[Wang, Ling] Univ Sci & Technol Liaoning, Anshan 114051, Peoples R China; [Sun, He; Sun, Zhihui] Univ Sci & Technol Beijing, Beijing 100086, Peoples R China; [Ma, Enqing] CEC Environm Protect Sci & Technol Dev Liaoning C, Nanjing 114002, Jiangsu, Peoples R China		Wang, L (corresponding author), Univ Sci & Technol Liaoning, Anshan 114051, Peoples R China.	wangling66117@126.com; shunhe199173@126.com; shunhe199173@126.com; lnzdmeq51@126.com						14	15	17	0	16	SPRINGER	NEW YORK	233 SPRING ST, NEW YORK, NY 10013 USA	1438-4957	1611-8227		J MATER CYCLES WASTE	J. Mater. Cycles Waste Manag.	SEP	2016	18	4					763	770		10.1007/s10163-015-0368-9			8	Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Environmental Sciences & Ecology	DU3OE	WOS:000382120600018					2022-01-29	
J	Hashim, R; How, LS; Kumar, RN; Sulaiman, O				Hashim, R; How, LS; Kumar, RN; Sulaiman, O			Some of the properties of flame retardant medium density fiberboard made from rubberwood and recycled containers containing aluminum trihydroxide	BIORESOURCE TECHNOLOGY			English	Article						wet process MDF; flame retardant; aluminum trihydroxide; limiting oxygen index (LOI); internal bond; physical properties		The flame retardancy of medium density fiberboard (MDF) made from mixture of rubberwood fibers and recycled old corrugated containers was studied. Aluminum trihydroxide (ATH) was used as a fire retardant additive and mixed with the fibers to manufacture experimental MDF panels using wet process. Phenol formaldehyde (PF) resin in liquid, 2% based on oven dry weight of fibers, was used along with 0%, 10%, 15% and 20% of ATH. The flame retardant test was done using the limiting oxygen index (LOI) test. The other properties investigated include internal bond strength, thickness swelling and water absorption. The results showed that ATH loading increased as the LOI of MDF increased. This demonstrated that ATH could improved the fire retardant property of MDF at sufficient loading. An increase in concentration of ATH showed an increase in the 113 values of MDF made without resin. MDF panels made without resin showed a progressive increase in internal bond as the composition of recycled old corrugated containers fiber increased. Addition of resin improved internal bond strength and reduced thickness swelling, and water absorption. Thickness swelling of panel increased as the composition of recycled old corrugated containers fiber increased. Scanning electron microscopy (SEM) and energy dispersive X-ray analysis (EDAX) showed that there is indication of ATH and resin filling the void space in between fibers. (c) 2005 Elsevier Ltd. All rights reserved.	Univ Sains Malaysia, Sch Ind Technol, Div Bioresource Paper & Coatings Technol, George Town 11800, Malaysia		Hashim, R (corresponding author), Univ Sains Malaysia, Sch Ind Technol, Div Bioresource Paper & Coatings Technol, George Town 11800, Malaysia.	hrokiah@usm.my	Hashim, Rokiah/G-5403-2010; Sulaiman, Othman/G-1901-2010	Hashim, Rokiah/0000-0001-6907-1411; Sulaiman, Othman/0000-0002-3711-3768				13	24	25	3	22	ELSEVIER SCI LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND	0960-8524	1873-2976		BIORESOURCE TECHNOL	Bioresour. Technol.	NOV	2005	96	16					1826	1831		10.1016/j.biortech.2005.01.023			6	Agricultural Engineering; Biotechnology & Applied Microbiology; Energy & Fuels	Science Citation Index Expanded (SCI-EXPANDED)	Agriculture; Biotechnology & Applied Microbiology; Energy & Fuels	956ZQ	WOS:000231339300011	16051090				2022-01-29	
J	Keating, S; Oxman, N				Keating, Steven; Oxman, Neri			Compound fabrication: A multi-functional robotic platform for digital design and fabrication	ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING			English	Article						Digital fabrication; Compound fabrication; 3D printing; Robotic milling; Robotic arm; Rapid prototyping		Supporting various applications of digital fabrication and manufacturing, the industrial robot is typically assigned repetitive tasks for specific pre-programmed and singular applications. We propose a novel approach for robotic fabrication and manufacturing entitled Compound Fabrication, supporting multi-functional and multi-material processes. This approach combines the major manufacturing technologies including additive, formative and subtractive fabrication, as well as their parallel integration. A 6-axis robotic arm, repurposed as an integrated 3D printing, milling and sculpting platform, enables shifting between fabrication modes and across scales using different end effectors. Promoting an integrated approach to robotic fabrication, novel combination processes are demonstrated including 3D printing and milling fabrication composites. In addition, novel robotic fabrication processes are developed and evaluated, such as multi-axis plastic 3D printing, direct recycling 3D printing, and embedded printing. The benefits and limitations of the Compound Fabrication approach and its experimental platform are reviewed and discussed. Finally, contemplation regarding the future of multi-functional robotic fabrication is offered, in the context of the experiments reviewed and demonstrated in this paper. (C) 2013 Elsevier Ltd. All rights reserved.	[Keating, Steven; Oxman, Neri] MIT, Cambridge, MA USA		Keating, S (corresponding author), MIT, 75 Amherst St,Off E14-333C, Cambridge, MA USA.	neri@mit.edu	Keating, Steven/J-9808-2015	Keating, Steven/0000-0002-8775-5590	NSF EAGER grant award [1152550]	This work was supported in part by NSF EAGER grant award #1152550 "Bio-Beams: Functionally Graded Rapid Design & Fabrication". The authors wish to acknowledge Dr. David Wallace for his advice and guidance on the project and Jim Miller from KUKA Robotics for the robotic training. The authors also wish to acknowledge the Mediated Matter group and the undergraduate research assistants who have contributed to this work, including Ali AlShehab, Louis DeScioli, Keren Gu, Banks Hunter, Julian Merrick, Taylor Robertson, Nathan Spielberg, and Ann Warren.		21	91	92	10	197	PERGAMON-ELSEVIER SCIENCE LTD	OXFORD	THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND	0736-5845	1879-2537		ROBOT CIM-INT MANUF	Robot. Comput.-Integr. Manuf.	DEC	2013	29	6					439	448		10.1016/j.rcim.2013.05.001			10	Computer Science, Interdisciplinary Applications; Engineering, Manufacturing; Robotics	Science Citation Index Expanded (SCI-EXPANDED)	Computer Science; Engineering; Robotics	213UA	WOS:000324084700002					2022-01-29	
J	Rice, RG				Rice, RG			Applications of ozone for industrial wastewater treatment - A review	OZONE-SCIENCE & ENGINEERING			English	Review						ozone; industrial wastewater treatment; marine aquaria; electroplating; electronic chip manufacturing; textiles; refineries; pulp bleaching; industrial chemical industry wastewaters; landfill leachates; hazardous wastes; industrial phosphoric acid; petroleum tank and storage facilities	DECOLORIZATION	This paper presents a detailed review of published applications of ozone for treating many types of industrial wastewaters. Applications of ozone technologies to control pollution in full-scale industrial wastewater treatment plants in the areas of recycling marine aquaria, electroplating wastes, electronic chip manufacture, textiles, and petroleum refineries, are discussed. The rising acceptance of ozone as a replacement bleaching agent for paper pulp to eliminate the discharge of halogenated effluents from pulp bleaching plants also is traced. Newer applications for ozone in treating rubber additive wastewaters, landfill leachates, and detergents in municipal wastewaters are summarized briefly. The combination of ozone oxidation followed by biological treatment has been installed full-scale at a large German industrial chemical complex. Ozone coupled with ultraviolet radiation and/or hydrogen peroxide (advanced oxidation) is being utilized to destroy organic contaminants in groundwaters at munitions manufacturing plants and at Superfund sites (hazardous wastes). Ozone followed by activated carbon adsorption removes color and organics cost-effectively from North African phosphoric acid.			Rice, RG (corresponding author), RICE INT CONSULTING ENTERPRISES, 1331 PATUXENT DR, ASHTON, MD 20861 USA.							57	150	154	9	157	TAYLOR & FRANCIS INC	PHILADELPHIA	530 WALNUT STREET, STE 850, PHILADELPHIA, PA 19106 USA	0191-9512	1547-6545		OZONE-SCI ENG	Ozone-Sci. Eng.	JAN	1997	18	6					477	515		10.1080/01919512.1997.10382859			39	Engineering, Environmental; Environmental Sciences	Science Citation Index Expanded (SCI-EXPANDED)	Engineering; Environmental Sciences & Ecology	WF511	WOS:A1997WF51100002					2022-01-29	
J	Singh, N; Singh, R; Ahuja, IPS				Singh, Narinder; Singh, Rupinder; Ahuja, I. P. S.			Recycling of polymer waste with SiC/Al2O3 reinforcement for rapid tooling applications	MATERIALS TODAY COMMUNICATIONS			English	Article						Additive manufacturing; Recycled polymer; HDPE; FDM; Mechanical properties	CONCRETE; COMPOSITES	In this research work an effort has been made to develop in house feed stock filament wire made up of recycled polymer waste as base matrix with SiC/Al2O3 reinforcement for sustainable development. The process starts with collection of waste polymer (high density polyethylene (HDPE) as a case study) from local industry. After manual segregation of contamination from waste polymer, initially rheological and thermal properties like: melt flow index (MFI), melting temperature, decomposition and enthalpy of the base polymer as well as reinforced with ceramic particle in different proportions, were tested. Further based upon thermal properties different proportions of HDPE, SiC and Al2O3 were prepared by using mini compounder (twin screw extruder) to ensure uniform dispersion. After this single screw extruder was used to prepare filament wire of uniform diameter for fused deposition modelling (FDM) setup. The filament wire so prepared was tested for its tensile properties by using universal testing machine (UTM) and various mechanical properties like: peak strength, break strength, percentage elongation and peak load etc. were established. Finally scanning electron micrographs (SEM) were obtained to understand the distribution of ceramic particles in filament wire. This study highlights the detailed procedure for managing the polymer waste with novel method by using recycled polymer as rapid tooling. This will enhance the sustainability and also helps to develop low cost, in-house open source FDM setup, rapid tooling (as ceramic particles in filament wire will enhance surface properties).	[Singh, Narinder; Ahuja, I. P. S.] Punjabi Univ, Patiala, Punjab, India; [Singh, Narinder; Singh, Rupinder] Guru Nanak Dev Engn Coll, Ludhiana, Punjab, India		Singh, R (corresponding author), Guru Nanak Dev Engn Coll, Ludhiana, Punjab, India.	narinder3k@gndec.ac.in; singhrupinder@gndec.ac.in; ipsahuja@pbi.ac.in	Singh, Rupinder/AAI-6710-2020; Ahuja, Inderpreet Singh/AAW-9948-2021; singh, Narinder/D-1270-2018	Singh, Rupinder/0000-0001-8251-8943; Ahuja, Inderpreet Singh/0000-0002-7055-1428; SINGH, NARINDER/0000-0002-7835-2765	Department of Science and Technology (GoI)Department of Science & Technology (India) [DST/TSG/NTS/2014/104]	The authors are thankful to Department of Science and Technology (GoI) for financial support (DST/TSG/NTS/2014/104) for this project.		23	13	13	6	24	ELSEVIER	AMSTERDAM	RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS	2352-4928			MATER TODAY COMMUN	Mater. Today Commun.	JUN	2018	15						124	127		10.1016/j.mtcomm.2018.02.008			4	Materials Science, Multidisciplinary	Science Citation Index Expanded (SCI-EXPANDED)	Materials Science	GH3IT	WOS:000433296700019					2022-01-29	
C	Sikora, P; Horszczaruk, E; Rucinska, T		Tracz, T; Hager, I		Sikora, Pawel; Horszczaruk, Elzbieta; Rucinska, Teresa			The effect of nanosilica and titanium dioxide on the mechanical and self-cleaning properties of waste-glass cement mortar	7TH SCIENTIFIC-TECHNICAL CONFERENCE ON MATERIAL PROBLEMS IN CIVIL ENGINEERING (MATBUD'2015)	Procedia Engineering		English	Proceedings Paper	7th Scientific-Technical Conference Material Problems in Civil Engineering (MATBUD)	JUN 22-24, 2015	Cracow Univ Technol, Cracow, POLAND	Polish Acad Sci, Comm Civil Engn, Sect Bldg Mater Engn, Polish Acad Sci. Civil Engn Commiss & Ceram Sci Commiss	Cracow Univ Technol	nanosilica; titanium dioxide; nanomaterials; waste glass; cement mortar	CONCRETE; REPLACEMENT; DURABILITY; AGGREGATE; SILICA	The recycling of waste glass is a major problem for municipalities worldwide due to high disposal costs and environmental concerns. Recycling glass from the municipal solid waste stream in order to manufacture new glass products is limited due to high costs, impurities, and mixed color. Although colorless waste glass has been recycled effectively, colored waste glass with its low recycling rate, has mostly been dumped into landfills. Due to its high level of impurity, colored glass cannot be processed easily. A new use was found for it, instead of creating waste: an additive in building materials. In this study, the self-cleaning properties and strength development characteristics of mortar containing waste glass and nanomaterials (nanosilica - nSiO(2) and titanium dioxide - TiO2) are analyzed in terms of waste glass content and the effectiveness of commercially available nanomaterials. Quartz sand is replaced with brown waste glass at ratios of 25%, 50% and 100% by weight. The photodegradation of the rhodamine B test has been conducted to analyze the effect of titanium dioxide, nanosilica and waste glass presence in the cement mortar for its potential application in self-cleaning facades. Studies have shown that waste glass can act as a successful replacement for sand, especially when mixed partially with sand. Additionally, a positive influence of nanomaterials on the self-cleaning and mechanical properties was noted. (C) 2015 The Authors. Published by Elsevier Ltd.	[Sikora, Pawel] Warsaw Univ Technol, PL-00637 Warsaw, Poland; [Sikora, Pawel; Horszczaruk, Elzbieta; Rucinska, Teresa] West Pomeranian Univ Technol Szczecin, PL-70311 Szczecin, Poland		Sikora, P (corresponding author), Warsaw Univ Technol, Al Armii Ludowej 16, PL-00637 Warsaw, Poland.	pawel.sikora@zut.edu.pl	Sikora, Pawel/G-4247-2016; Rucinska, Teresa/G-4539-2016; Horszczaruk, Elzbieta/G-3885-2016	Sikora, Pawel/0000-0003-1092-1359; Rucinska, Teresa/0000-0003-2550-2480; Horszczaruk, Elzbieta/0000-0003-0840-5048				11	18	18	2	21	ELSEVIER SCIENCE BV	AMSTERDAM	SARA BURGERHARTSTRAAT 25, PO BOX 211, 1000 AE AMSTERDAM, NETHERLANDS	1877-7058			PROCEDIA ENGINEER			2015	108						146	153		10.1016/j.proeng.2015.06.130			8	Construction & Building Technology; Engineering, Civil; Materials Science, Multidisciplinary	Conference Proceedings Citation Index - Science (CPCI-S)	Construction & Building Technology; Engineering; Materials Science	BD9FC	WOS:000364544000018		gold			2022-01-29	
